County,Town,Farm/Producer,Address,Email,Phone,Meat,Seafood,Eggs,Dairy,Vegetables/Herbs,Fruits,Flowers,Grains,Maple,Prepared Foods,GPS,,,,,,,,,,,
Androscoggin,Auburn,Bell Farms,"1552 Riverside Drive, Auburn, Maine",bellfarm@roadrunner.com,(207) 784-1455,Black Angus Local Frozen beef ready to go,,,,Potatoes,,,Feed whole corn 50lb bag,,,"44.042386, -70.191074",,,,,,,,,,,
Androscoggin,Durham,East Branch Farm,contact first,info@eastbranchfarm.com,(207) 688-2015,Certified organic pasture raised chicken,,Certified organic pasture raised,,Seasonal vegetables and herbs,,,,Maple syrup,,"43.918567, -70.118905",,,,,,,,,,,
Androscoggin,Durham,Hunnewell Farms LLC,"242 Peter Vier Road, Durham, Maine",hunnewellfarmsllc@gmail.com,(207) 240-6932,,,,,Assorted veggies,,,,,,"43.984553, -70.148467",,,,,,,,,,,
Androscoggin,Durham,Old Crow Ranch,"427 Davis Rd., Durham, Maine",oldcrowranch@gmail.com,(207) 329-8775,"Pork, Beef, Chicken (wholesale yearly CSA style). In our farm store: beef & pork by the cut and whole chickens while supplies last.",,,,Seasonal veggies from our extensive gardens,Frozen Blueberries from Crystal Spring Farm in the farm store,,,,,"43.959779, -70.156641",,,,,,,,,,,
Androscoggin,Durham,Replenova Farm,"1252 Royalsborough Road, Durham, Maine",g.goodrich@replenova.com,(207) 409-0446,,,,,organic salad greens and dishes,,,,,,"43.949107, -70.120413",,,,,,,,,,,
Androscoggin,Durham,Spring Day Creamery,"42 Day Road, Durham, Maine",sarah@springdaycreamery.com,(207) 831-5440,,,,"Fresh, ripened and aged cow's milk cheese",,,,,,,"43.982802, -70.062419",,,,,,,,,,,
Androscoggin,Leeds,Monument Hill Farm,"1450 Route 106, Leeds, Maine",monumenthillfarm2019@gmail.com,(207) 576-0283,,,,,,,,,,Raw Maine Honey,"44.313656, -70.121511",,,,,,,,,,,
Androscoggin,Leeds,Sparkplug Farm,"198 Campbell Road, Leeds, Maine",sparkplugfarm@gmail.com,(207) 542-1959,Beef and Pork,,,,,,,,,,"44.354941, -70.163794",,,,,,,,,,,
Androscoggin,Lewiston,Eli's Homestead LLC,"74 Grove St., Lewiston, Maine",elishomestead@outlook.com,(207) 240-8336,,,Chicken eggs: ISA Browns & Barred Rocks,,"Greens, roots, microgreens, onions, garlic, peas, peppers, tomatoes, (Mixed Veg)","Strawberries, Blueberries & Apples when in season",Sunflowers,,,,"44.097201, -70.156606",,,,,,,,,,,
Androscoggin,Lisbon,Chirp Creek Farm,"76 Littlefield Rd, Lisbon, Maine",chirpcreekfarm@gmail.com,(207) 219-9090,,,,,"Mixed, all",,,,,,"44.054590, -70.117213",,,,,,,,,,,
Androscoggin,Lisbon,Springworks Farm,"347 Lisbon Street, Lisbon, Maine",thor@springworksfarm.com,(201) 962-6896,,,,,"Lettuces! Baby Green Romaine, Green Leaf, Boston Bibb, Salad Mix",,,,,,"44.021726, -70.096972",,,,,,,,,,,
Androscoggin,Lisbon Falls,"Little Ridge Farm, LLC","101 Gould Rd, Lisbon Falls, Maine",farmer@littleridgefarm.com,(207) 353-7126,"beef, chicken",,,"goat/cow cheese, milk, yogurt","carrot, onion, beet, spinach",frozen blueberries,,,syrup,"Soups, veggie burgers, bread, fruit preserves, hummus, canned veg…","44.023753, -70.049534",,,,,,,,,,,
Androscoggin,Livermore Falls,Berry Fruit Farm Market and Bakery,"54 Main Street, Livermore Falls, Maine",Joel@berryfruitfarm.com,(207) 897-4767,,,,Milk Cream Ice Cream,"Potatoes, Onion, Carrots, Etc.","Apples, Berries, Etc.",,Bread Full Bakery,Yes,Yes Soups Salads,"44.474079, -70.190529",,,,,,,,,,,
Androscoggin,Livermore Falls,Rockin’ Sheep Farm,"64 Record Rd, Livermore Falls, Maine",Rockinsheepfarm@gmail.com,(207) 233-0779,Chicken cuts will be available May 22,,Eggs,,,,,,,,"44.473544, -70.132515",,,,,,,,,,,
Androscoggin,Mechanic Falls,Hidden Knoll Farm,"56 Dostie Drive, Mechanic Falls, Maine",Hiddenknollfarm@yahoo.com,(207) 831-0150,"Pork, beef, chicken",,Eggs,,,,,,,,"44.089110, -70.380238",,,,,,,,,,,
Androscoggin,Poland,Attwood Farm & Kitchen,"277 Poland Corner Rd, Poland, Maine",Attwoodfarm.maine@gmail.com,(218) 343-1442,"Beef and lamb by quarter, half, and whole available starting July 2020",,Eggs,,"Garlic, seasonal vegetables",,,,,"Pies, Maple Salsa, mild and hot salsa, breads, bagels, caramel and cinnamon rolls, caramel apples, variety of candies","44.072771, -70.376079",,,,,,,,,,,
Androscoggin,Poland,Gathering Winds Farm,"315 Poland Corner Road, Poland, Maine",gatheringwindsfarm@gmail.com,(207) 650-6974,,,,,yes varieties June-December,apples,,,,,"44.074857, -70.374045",,,,,,,,,,,
Androscoggin,Poland,Meadowfield,"488 Empire Rd, Poland, Maine",cdick2@me.com,(504) 452-8246,lamb,,,,,,,,,,"44.054338, -70.324276",,,,,,,,,,,
Androscoggin,Poland,Raspberry Hill Quail Farm,"48 Duff Road, Poland, Maine",raspberryhillquailfarm@gmail.com,(207) 998-9104,"Quail, Chicken",,"Quail, Chicken",,,,,,,,"44.078297, -70.396492",,,,,,,,,,,
Androscoggin,Poland,White Oak Hill Farm,"16 Strout Rd, Poland, Maine",norac@cummingsagency.com,(207) 272-3936,,,chicken,,"greens, lettuces, herbs and aromatics, tomatoes, peppers, peas, beans, squash, cabbage, corn, melons, pumpkins",,,,,,"44.051039, -70.408722",,,,,,,,,,,
Androscoggin,Sabattus,Jillson's Farm & Sugarhouse,"143 Jordan Bridge Rd., Sabattus, Maine",info@jillsonfarm.com,,,,chicken,,seasonal,,greenhouses now open,,maple syrup-maple taffy and more,,"44.106172, -70.101322",,,,,,,,,,,
Androscoggin,Sabattus,Willow Pond Farm,"395 Middle Rd, Sabattus, Maine",Willowpf@aol.com,(207) 375-6662,Lamb,,CSA only,Yogurt,"Carrots, potatoes, greens","Apples, dried apples",,,,"Jam, honey, syrup","44.094810, -70.083690",,,,,,,,,,,
Androscoggin,Turner,Double Z Land and Livestock / Kate and Chris Abbruzzese,"518 Upper Street, Turner, Maine",info@zzlandandlivestock.com,(207) 225-3579,Grass-fed Beef and Lamb,,,,,,,,,,"44.233499, -70.228940",,,,,,,,,,,
Androscoggin,Turner,Greenwood Orchards,"174 Auburn Rd, Turner, Maine",kingorch@megalink.net,(207) 225-3764,"Beef, from Double Z, Ground Beef, Steaks. Pork,",,,"Milk, Cheese, Half & Half, cheese curds","Native squash, potatoes, USA, broccoli, cabagge, & carrots. Native dried beans","Large selection of Apples from our orchards, McIntosh, Cortlands,Macouns plus our own preservative-free cider.",,,"Maple Syrup and local honey, jams, jellies and pickles from licensed Maine producers.","Bakery specializing in bread, pies, cookies and sweet breads.","44.194890, -70.241803",,,,,,,,,,,
Androscoggin,Turner,Hazel Hill Orchard,"59 S Livermore Rd, Turner, Maine",hazelhillorchard@gmail.com,(207) 500-3886,,,,,,"Applesauce, Apple butter",,,Maple Syrup,"Apple Nut Cakes, Apple pies","44.336056, -70.216158",,,,,,,,,,,
Androscoggin,Turner,Nezinscot Farm,"284 Turner Center Road, Turner, Maine",Gloria@nezinscotfarm.com,(207) 225-3231,"Chicken, beef, pork, lamb, goat, duck",,Chicken eggs,"Yogurt, fresh cheese, hard cheese","All local: Potato, onions, garlic, cabbage, greens, carrots",Local apples,,"Baking needs: flours, oats, spelt, rice, pasta",Hall farms maple syrup,"Lots of prepared meals, soups, full takeout menu","44.267001, -70.238968",,,,,,,,,,,
Androscoggin,Turner,Ricker Hill Orchards,"295 Buckfield Road, Turner, Maine",Maheus1@gmail.com,(207) 225-5552,Beef,,,Milk,Vegetables,Apples,,Flour,Maple syrup and maple sugar,Baked good and donuts,"44.265224, -70.283057",,,,,,,,,,,
