School Name,School ID,Public flag,School Type,SAU,SAU ID,County,Location,Mailing Street,Mailing City,Mailing Zip,Phone,Grade Low,Grade High,Contact,Contact Email
Abraham Lincoln School,45,Public,Public,Bangor Public Schools,42,Penobscot,Bangor,45 Forest Avenue,Bangor,04401,(207) 941-6280,PK,3,Shannon Shaw,sshaw@bangorschools.net
Academy Hill School,615,Public,Public,RSU 09,1508,Franklin,Wilton,585 Depot St,Wilton,04294,(207) 645-4488,2,5,Keith Acedo,kacedo@mtbluersd.org
Acadia Academy School,1765,Public,Charter,Acadia Academy,1761,Androscoggin,Lewiston,12 Westminster Street,Lewiston,04240,(207) 333-3765,PK,6,Casey Baugher,Casey.Baugher@acadiaacademy.org
Acton Elementary School,3,Public,Public,Acton Public Schools,2,York,Acton,700 Milton Mills Road,Acton,04001,(207) 636-2100,PK,8,Jonathan Ross,jross@actonschool.org
Adams School,126,Public,Public,Castine Public Schools,125,Hancock,Castine,PO Box 29,Castine,04421,(207) 326-8608,PK,8,Fred Cole,fcole@castineschools.org
Agnes Gray School,659,Public,Public,RSU 17/MSAD 17,646,Oxford,West Paris,170 Main Street,West Paris,04289,(207) 674-2332,PK,6,Samantha Armstrong,s.armstrong@msad17.org
Airline Community School,1039,Public,Public,Airline CSD,1038,Hancock,Aurora,26 Great Pond Road,Aurora,04408,(207) 359-5002,PK,8,Janelle Jones,jjones@airlineschool.org
Albert S Hall School,481,Public,Public,Waterville Public Schools,480,Kennebec,Waterville,27 Pleasant Street,Waterville,04901,(207) 872-8071,4,5,SARAH ST PIERRE,sstpierre@aos92.org
Albion Elementary School,827,Public,Public,RSU 49/MSAD 49,826,Kennebec,Albion,20 School Street,Albion,04910,(207) 437-2616,PK,6,PAMELA BLAIS,pblais@msad49.org
Alexander Elementary,5,Public,Public,Alexander Public Schools,4,Washington,Alexander,1430 Airline Road,Alexander,04694,(207) 454-2623,PK,8,Trevor Flood,principal@alexanderelementary.org
Alfred Elementary School,889,Public,Public,RSU 57/MSAD 57,888,York,Alfred,21 Sanford Road,Alfred,04002,(207) 324-3831,PK,5,CATHERINE DALLAIRE,catherinedallaire@rsu57.org
Alton Elementary School,8,Public,Public,RSU 34,1466,Penobscot,Alton,22 Argyle Rd,Alton,04468,(207) 394-2331,PK,3,Cheryl Leonard,cheryl.leonard@rsu34.org
Amanda C Rowe School,369,Public,Public,Portland Public Schools,364,Cumberland,Portland,23 Orono RD,Portland,04102,(207) 874-8205,PK,5,William Anton,antonw@portlandschools.org
Ames Elementary School,739,Public,Public,RSU 71,1733,Waldo,Searsmont,165 New England Road,Searsmont,04973,(207) 342-5100,2,5,Glen Widmer,gwidmer@rsu71.org
Andover Elementary School,790,Public,Public,Andover Public Schools,1734,Oxford,Andover,PO Box 70,Andover,04216,(207) 392-4381,PK,5,LEANNE CONDON,lcondon@andoverschoolmaine.org
Appleton Village School,10,Public,Public,Appleton Public Schools,9,Knox,Appleton,737 Union Road,Appleton,04862,(207) 785-4504,PK,8,Susan Stilwell,susan.stilwell@fivetowns.net
